"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Создание объявления с нулевой ценой","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
"","352","Получение статистики с заданными значениями","","2026-04-20","passed","2026-04-20","TestGetStatistics","test_get_statistics","",""
"","282","Создание объявления с отрицательной ценой","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
"","0","Получение существующего объявления","","2026-04-20","skipped","2026-04-20","TestGetItemById","test_get_item_by_id","",""
"","265","Получение объявлений продавца без объявлений","","2026-04-20","passed","2026-04-20","TestGetItemsBySeller","test_get_items_by_seller","",""
"","0","Получение объявлений существующего продавца","","2026-04-20","skipped","2026-04-20","TestGetItemsBySeller","test_get_items_by_seller","",""
"","267","Создание объявления без sellerID","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
"","299","Получение нескольких объявлений одного продавца","","2026-04-20","skipped","2026-04-20","TestGetItemsBySeller","test_get_items_by_seller","",""
"","281","Успешное создание объявления с валидными данными","","2026-04-20","skipped","2026-04-20","TestCreateItem","test_create_item","",""
"","297","Создание объявления с невалидным sellerID","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
"","0","Сравнение статистики v1 и v2","","2026-04-20","skipped","2026-04-20","TestGetStatistics","test_get_statistics","",""
"","271","Получение несуществующего объявления","","2026-04-20","passed","2026-04-20","TestGetItemById","test_get_item_by_id","",""
"","250","test_full_item_lifecycle","","2026-04-20","skipped","2026-04-20","TestE2E","test_e2e","",""
"","295","Получение объявлений с невалидным sellerID","","2026-04-20","passed","2026-04-20","TestGetItemsBySeller","test_get_items_by_seller","",""
"","298","test_idempotency_create","","2026-04-20","skipped","2026-04-20","TestE2E","test_e2e","",""
"","0","Получение статистики существующего объявления","","2026-04-20","skipped","2026-04-20","TestGetStatistics","test_get_statistics","",""
"","261","Получение статистики несуществующего объявления","","2026-04-20","passed","2026-04-20","TestGetStatistics","test_get_statistics","",""
"","285","test_multiple_items_creation","","2026-04-20","skipped","2026-04-20","TestE2E","test_e2e","",""
"","302","Создание объявления со всеми полями статистики","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
"","0","Получение объявления после удаления","","2026-04-20","skipped","2026-04-20","TestGetItemById","test_get_item_by_id","",""
"","293","Получение объявления с пустым ID","","2026-04-20","passed","2026-04-20","TestGetItemById","test_get_item_by_id","",""
"","289","Создание объявления с пустым названием","","2026-04-20","passed","2026-04-20","TestCreateItem","test_create_item","",""
